AES | ANF_CSE_LS-primitive depth=1275   size=1411   Toffoli_N=2684   Depth_N=2461  ancilla=195 ops={'cx': 681, 'mcx': 402, 'ccx': 316, 'measure': 8, 'x': 4}
AES | ANF_CSE_LS-transpiled depth=48464  size=71921 ancilla=195 ops={'u': 43232, 'cx': 28681, 'measure': 8}
AES | ANF_CSE_LS-primitive depth=1272   size=1421   Toffoli_N=2681   Depth_N=2460  ancilla=200 ops={'cx': 690, 'mcx': 403, 'ccx': 316, 'measure': 8, 'x': 4}
AES | ANF_CSE_LS-transpiled depth=48243  size=71739 ancilla=200 ops={'u': 43093, 'cx': 28638, 'measure': 8}
AES | ANF_CSE_LS-primitive depth=1271   size=1431   Toffoli_N=2657   Depth_N=2451  ancilla=205 ops={'cx': 708, 'mcx': 399, 'ccx': 312, 'measure': 8, 'x': 4}
AES | ANF_CSE_LS-transpiled depth=47681  size=71277 ancilla=205 ops={'u': 42781, 'cx': 28488, 'measure': 8}
AES | ANF_CSE_LS-primitive depth=1260   size=1441   Toffoli_N=2681   Depth_N=2456  ancilla=210 ops={'cx': 710, 'mcx': 407, 'ccx': 312, 'measure': 8, 'x': 4}
AES | ANF_CSE_LS-transpiled depth=47856  size=71527 ancilla=210 ops={'u': 42917, 'cx': 28602, 'measure': 8}
AES | ANF_CSE_LS-primitive depth=1271   size=1451   Toffoli_N=2705   Depth_N=2483  ancilla=215 ops={'cx': 712, 'mcx': 415, 'ccx': 312, 'measure': 8, 'x': 4}
AES | ANF_CSE_LS-transpiled depth=48119  size=71777 ancilla=215 ops={'u': 43053, 'cx': 28716, 'measure': 8}
AES | ANF_CSE_LS-primitive depth=1271   size=1461   Toffoli_N=2714   Depth_N=2491  ancilla=220 ops={'cx': 721, 'mcx': 419, 'ccx': 309, 'measure': 8, 'x': 4}
AES | ANF_CSE_LS-transpiled depth=48304  size=71865 ancilla=220 ops={'u': 43094, 'cx': 28763, 'measure': 8}
AES | ANF_CSE_LS-primitive depth=1280   size=1471   Toffoli_N=2718   Depth_N=2504  ancilla=225 ops={'cx': 731, 'mcx': 421, 'ccx': 307, 'measure': 8, 'x': 4}
AES | ANF_CSE_LS-transpiled depth=48262  size=71907 ancilla=225 ops={'u': 43110, 'cx': 28789, 'measure': 8}
AES | ANF_CSE_LS-primitive depth=1218   size=1481   Toffoli_N=2714   Depth_N=2442  ancilla=230 ops={'cx': 745, 'mcx': 421, 'ccx': 303, 'measure': 8, 'x': 4}
AES | ANF_CSE_LS-transpiled depth=47931  size=71861 ancilla=230 ops={'u': 43074, 'cx': 28779, 'measure': 8}
AES | ANF_CSE_LS-primitive depth=1202   size=1491   Toffoli_N=2725   Depth_N=2434  ancilla=235 ops={'cx': 752, 'mcx': 425, 'ccx': 302, 'measure': 8, 'x': 4}
AES | ANF_CSE_LS-transpiled depth=47841  size=71977 ancilla=235 ops={'u': 43133, 'cx': 28836, 'measure': 8}
AES | ANF_CSE_LS-primitive depth=1204   size=1493   Toffoli_N=2724   Depth_N=2436  ancilla=236 ops={'cx': 755, 'mcx': 425, 'ccx': 301, 'measure': 8, 'x': 4}
AES | ANF_CSE_LS-transpiled depth=47724  size=71965 ancilla=236 ops={'u': 43124, 'cx': 28833, 'measure': 8}
AES | ANF_CSE_LS-primitive depth=1204   size=1493   Toffoli_N=2724   Depth_N=2436  ancilla=236 ops={'cx': 755, 'mcx': 425, 'ccx': 301, 'measure': 8, 'x': 4}
AES | ANF_CSE_LS-transpiled depth=47724  size=71965 ancilla=236 ops={'u': 43124, 'cx': 28833, 'measure': 8}
AES | ANF_CSE_LS-primitive depth=1204   size=1493   Toffoli_N=2724   Depth_N=2436  ancilla=236 ops={'cx': 755, 'mcx': 425, 'ccx': 301, 'measure': 8, 'x': 4}
AES | ANF_CSE_LS-transpiled depth=47724  size=71965 ancilla=236 ops={'u': 43124, 'cx': 28833, 'measure': 8}
SM4 | ANF_CSE_LS-primitive depth=1020   size=1036   Toffoli_N=5146   Depth_N=3586  ancilla=0 ops={'mcx': 877, 'ccx': 115, 'cx': 31, 'measure': 8, 'x': 5}
SM4 | ANF_CSE_LS-transpiled depth=97351  size=141338ancilla=0 ops={'u': 85589, 'cx': 55741, 'measure': 8}
SM4 | ANF_CSE_LS-primitive depth=1023   size=1046   Toffoli_N=4952   Depth_N=3411  ancilla=5 ops={'mcx': 788, 'ccx': 188, 'cx': 57, 'measure': 8, 'x': 5}
SM4 | ANF_CSE_LS-transpiled depth=95960  size=139700ancilla=5 ops={'u': 84733, 'cx': 54959, 'measure': 8}
SM4 | ANF_CSE_LS-primitive depth=1030   size=1056   Toffoli_N=4809   Depth_N=3280  ancilla=10 ops={'mcx': 719, 'ccx': 252, 'cx': 72, 'measure': 8, 'x': 5}
SM4 | ANF_CSE_LS-transpiled depth=94919  size=138536ancilla=10 ops={'u': 84136, 'cx': 54392, 'measure': 8}
SM4 | ANF_CSE_LS-primitive depth=1035   size=1066   Toffoli_N=4721   Depth_N=3205  ancilla=15 ops={'mcx': 679, 'ccx': 284, 'cx': 90, 'measure': 8, 'x': 5}
SM4 | ANF_CSE_LS-transpiled depth=94164  size=137794ancilla=15 ops={'u': 83744, 'cx': 54042, 'measure': 8}
SM4 | ANF_CSE_LS-primitive depth=1039   size=1076   Toffoli_N=4663   Depth_N=3169  ancilla=20 ops={'mcx': 659, 'ccx': 286, 'cx': 118, 'measure': 8, 'x': 5}
SM4 | ANF_CSE_LS-transpiled depth=93384  size=137232ancilla=20 ops={'u': 83422, 'cx': 53802, 'measure': 8}
SM4 | ANF_CSE_LS-primitive depth=1041   size=1086   Toffoli_N=4485   Depth_N=3081  ancilla=25 ops={'mcx': 636, 'ccx': 289, 'cx': 148, 'measure': 8, 'x': 5}
SM4 | ANF_CSE_LS-transpiled depth=88668  size=130348ancilla=25 ops={'u': 79354, 'cx': 50986, 'measure': 8}
SM4 | ANF_CSE_LS-primitive depth=1051   size=1096   Toffoli_N=4333   Depth_N=3005  ancilla=30 ops={'mcx': 616, 'ccx': 289, 'cx': 178, 'measure': 8, 'x': 5}
